Team Name,Country,League,Stadium,Formed Year
Arsenal,England,English Premier League,Emirates Stadium,1892
Aston Villa,England,English Premier League,Villa Park,1874
Bournemouth,England,English Premier League,Vitality Stadium,1890
Brentford,England,English Premier League,Brentford Community Stadium,1889
Brighton and Hove Albion,England,English Premier League,American Express Stadium,1901
Chelsea,England,English Premier League,Stamford Bridge,1905
Coventry City,England,English Premier League,The Coventry Building Society Arena,1883
Crystal Palace,England,English Premier League,Selhurst Park,1905
Everton,England,English Premier League,Hill Dickinson Stadium,1878
Fulham,England,English Premier League,Craven Cottage,1879
